"id_pointage","id_ventil_date"
"13","5"
"12","5"
"11","5"
"10","5"
"6","5"
"1","5"
"21","4"
"20","4"
"17","4"
"16","4"
"15","4"
"14","4"
"9","4"
"8","4"
"7","4"
"48","5"
"50","5"
"58","5"
"57","5"
"66","5"
"65","5"
"56","5"
"55","5"
"54","5"
"53","5"
"52","5"
"51","5"
"64","5"
"63","5"
"62","5"
"61","5"
"60","5"
"59","5"
"49","5"
"26","4"
"23","4"
"47","4"
"46","4"
"25","4"
"37","4"
"36","4"
"42","4"
"33","4"
"32","4"
"45","4"
"44","4"
"40","4"
"41","4"
"29","4"
"28","4"
"27","4"
"39","4"
"38","4"
"4","4"
"3","4"
