"id_comment","text","version"
"115","personnel","0"
"2","Cours de conduite moto, pour la journée du 30/05/2015.","2"
"1","Cours de conduite moto, pour la journée du 16/05/2015.","1"
"3","L'agent est à la BMO 1.","0"
"4","L'agent est à la BMO 1","0"
"5","L'agent est à la BMO 1","0"
"6","L'agent est à la BMO 1","0"
"116","personnel","0"
"117","personnel","0"
"121","RENFORT","0"
"10","Surveillance des lycées et collèges.","1"
"11","Surveillance des lycées et collèges.","0"
"12","Vacation A.MIDI 13Hx21H au CCO","0"
"13","Vacation du Matin 05hx13h au CCO","0"
"14","Vacation de nuit du 03/06/2015 au 04/06/2015 21hx05h au CCO","0"
"15","Vacation de la nuit du 03/06/2015 au 04/06/2015 21hx05h au CCO","0"
"16","Vacation du matin 05hx13h au CCO","0"
"17","Vacation A.midi 13hx21h au CCO","0"
"18","Vacation du matin 05hx13h au CCO","0"
"19","Vacation de la nuit 21hx05h au CCO","0"
"20","Vacation de la nuit du 04/06/15 au 05/06/15 au CCO","0"
"21","Vacation de la nuit du 04/06/2015 au 05/06/2015 au CCO","0"
"23","Renfort","0"
"24","Renfort","0"
"122","RENFORT","0"
"124","RENFORT","0"
"27","Renfort","0"
"127","Renfort","0"
"29","Renfort","0"
"30","Renfort","0"
"31","Renfort","0"
"32","Rernfort","0"
"128","Renfort","0"
"34","Renfort","0"
"35","Dimanche doux","0"
"36","Dimanche Doux","0"
"37","Renfort","0"
"388","Renfort au CCO","0"
"39","Renfort","0"
"40","Renfort au CCO","0"
"41","Renfort","0"
"42","Saisie des primes du mois de mai en date du 28/05/15 vacation du  matin","0"
"43","Saisie des primes du mois de mai en date du 28/05/15 vacation de la nuit","0"
"44","Saisie de la primes de panier  mois de mai, vacation du matin date 28/05/15","0"
"45","Saisie de la primes de nuit mois de mai, vacation de la nuit date 28/05/15","0"
"47","Saisie de la primes de nuit en date du 28/05/15","0"
"46","Saisie de la primes de panier en date du 28/05/15","1"
"49","Saisie  de la prime de panier en date du 28/05/15","0"
"389","Renfort au CCO","0"
"392","VACATION DU 26/05/15","0"
"175","VACATION DU 29/05/15","0"
"53","saisie de la prime de panier an date du 29/05/15 au CCO","0"
"54","Saisie de la prime de nuit en date du 29/05/15 au CCO","0"
"48","Saisie de la prime de panier en date du 28/05/15 au CCO","1"
"55","Saisie de la prime de nuit en date du 29/05/15 au CCO","0"
"178","VACATION DU 28/05/15","0"
"179","VACATION DU 29/05/15","0"
"56","Saisie de la prime de panier en date du 29/05/15 au CCO","0"
"57","Saisie de la prime de panier en date du 29/05/15 au CCO","0"
"58","Saisie de la prime de panier en date du 30/05/15 au CCO","0"
"59","Saisie de la prime de nuit en date du 30./05/15 au CCO","0"
"60","Saisie de la prime de panier en date du 30/05/15 au CCO","0"
"61","Saisie de la prime de nuit en date du 30/05/15 au CCO","0"
"62","Saisie de la prime de panier en date du 30/05/15 au CCO","0"
"64","Saisie de la prime de panier en date du 31/05/15 au CCO","0"
"65","Saisie de la prime de nuit  en date du 31/05/15 au CCO","0"
"63","Saisie de la prime de panier en date du 31/05/15 au CCO","1"
"394","VACATION DU 03/06/15","0"
"67","Obsèques de Monsieur PENTECOSTE + surveillance de écoles.","0"
"68","L'agent a effectué son service à la BMO 1 en date du  28/05/2015","0"
"69","Saisie de la prime de panier en date du 29/05/15 à la BMO","0"
"70","L'agent a effectué son service à la BMO 1 en date du 28/05/2015.","0"
"71","L'agent a effectué son service à la BMO 1 en date du 29/05/2015","0"
"72","Brigade Sud","0"
"73","Brigade Sud heures de nuit.","0"
"74","Brigade Sud heures de nuit","0"
"75","Service de nuit","0"
"76","Service de nuit","0"
"77","Service de nuit","0"
"78","Service de nuit","0"
"79","Mari opéré de l'épaule droite","0"
"80","Chauffeur du Maire Honoraire","0"
"81","Cours de conduite moto","0"
"82","Dimanche doux","0"
"83","Mission lycées et collèges","0"
"84","Renfort UVP","0"
"85","Renfort UVP","0"
"86","Renfort UVP","0"
"87","Renfort UVP","0"
"89","Renfort UVP","0"
"90","Renfort UVP","0"
"91","Renfort UVP","0"
"92","Renfort UVP","0"
"93","Renfort UVP","0"
"94","Préposé VL  15 mn + copie de mail au chef de quart CCO 45 mn, soit 01H00","0"
"95","Copie du mail au chef de quart CCO + 30 mn.","0"
"96","Copie du mail au chef de quart CCO + 30 mn","0"
"97","Copie du mail au chef de quart  du CCO + 30 mn","0"
"98","Renfort Sortie établissement de nuit + côte blanche.","0"
"99","Renfort - établissement de nuit + côte blanche","0"
"100","Renfort établissement de nuit + côte blanche.","0"
"101","Renfort établissement de nuit + côte blanche.","0"
"88","Renfort établissement de nuit + côte blanche.","1"
"102","Renfort UVP","0"
"182","VACATION DU 28/05/15","0"
"183","VACATION DU 29/05/15","0"
"184","VACATION DU 29/05/15","0"
"185","VACATION DU 29/05/15","0"
"186","VACATION DU 27/05/15","0"
"187","VACATION DU 28/05/15","0"
"397","Permanence au CAB sur instruction de la Direction","0"
"398","Permanence au CTC sur instruction de la Direction.","0"
"195","Accident de la Circulation (corporel).","0"
"199","Rapport de mise à disposition à ,la PN 2015/1099","0"
"103","Renfort établissent de nuit + côte blanche","0"
"105","Rapport IPM 2015/1037 - 1038 - 1039 mise à disposition + procédures:  + 30 mn.","0"
"106","Rapport IPM 2015/1037 - 1038 - 1039 mise à disposition + procédure: + 30 mn","0"
"110","Rédaction Rapport 2015/1089","0"
"118","personnel","0"
"119","personnel","0"
"120","Renfort","0"
"123","RENFORT","0"
"390","Renfort au CCO","0"
"391","Renfort au CCO","0"
"393","VACATION DU 26/05/15","0"
"130","RENFORT UVP","0"
"395","VACATION DU 03/06/15","0"
"144","VACATION DU 28/05/15","0"
"145","VACATION DU 29/05/15","0"
"146","VACATION DU 29/05/15","0"
"147","VACATION DU 28/05/15","0"
"148","VACATION DU 29/05/15","0"
"159","VACATION DU 28/05/15","0"
"160","VACATION DU 28/05/15","0"
"396","Permanence au CAB sur instruction de la Direction.","1"
"168","VACATION DU 29/05/15","0"
"169","VACATION DU 30/05/15","0"
"170","VACATION DU 30/05/15","0"
