"id_ventil_hsup","id_ventil_date","id_agent","date_lundi","m_abs","m_hors_contrat","m_sup","m_sup_25","m_sup_50","m_djf","m_1_mai","m_nuit","m_normales","m_simples","m_composees","m_recuperees","m_sup_25_r","m_sup_50_r","m_djf_r","m_1_mai_r","m_nuit_r","m_normales_r","m_simples_r","m_composees_r","etat","version","m_abs_as400","m_rappel_service"
"488","4","9005312","2015-06-01T00:00:00.000","0","810","810","0","0","90","0","600","0","120","0","810","0","0","90","0","600","0","120","0","7","1","0","0"
"489","4","9005312","2015-06-08T00:00:00.000","0","165","165","0","0","165","0","0","0","0","0","165","0","0","165","0","0","0","0","0","7","1","0","0"
"490","4","9005312","2015-06-15T00:00:00.000","0","870","870","0","0","210","0","600","0","60","0","870","0","0","210","0","600","0","60","0","7","1","0","0"
"495","4","9003399","2015-06-22T00:00:00.000","0","75","75","0","0","0","0","0","0","75","0","75","0","0","0","0","0","0","75","0","7","1","0","0"
"507","4","9004987","2015-06-01T00:00:00.000","0","390","390","0","0","90","0","300","0","0","0","390","0","0","90","0","300","0","0","0","7","1","0","0"
"508","4","9004987","2015-06-08T00:00:00.000","0","45","45","0","0","0","0","0","0","45","0","45","0","0","0","0","0","0","45","0","7","1","0","0"
"509","4","9004987","2015-06-15T00:00:00.000","0","180","180","0","0","135","0","0","0","45","0","180","0","0","135","0","0","0","45","0","7","1","0","0"
"510","4","9004987","2015-06-22T00:00:00.000","0","420","420","0","0","75","0","300","0","45","0","420","0","0","75","0","300","0","45","0","7","1","0","0"
"523","4","9004936","2015-06-01T00:00:00.000","0","60","60","0","0","0","0","0","0","60","0","60","0","0","0","0","0","0","60","0","7","1","0","0"
"524","4","9004936","2015-06-08T00:00:00.000","0","60","60","0","0","0","0","0","0","60","0","60","0","0","0","0","0","0","60","0","7","1","0","0"
"525","4","9004936","2015-06-22T00:00:00.000","0","105","105","0","0","105","0","0","0","0","0","105","0","0","105","0","0","0","0","0","7","1","0","0"
"541","4","9003778","2015-06-08T00:00:00.000","0","75","0","0","0","0","0","0","75","0","0","75","0","0","0","0","0","75","0","0","7","1","420","0"
"615","4","9005315","2015-06-08T00:00:00.000","0","420","420","0","0","120","0","300","0","0","0","420","0","0","120","0","300","0","0","0","7","1","0","0"
"616","4","9005315","2015-06-22T00:00:00.000","0","75","75","0","0","0","0","0","0","75","0","75","0","0","0","0","0","0","75","0","7","1","0","0"
"499","4","9005309","2015-06-15T00:00:00.000","0","360","360","0","0","0","0","300","0","60","0","360","0","0","0","0","300","0","60","0","7","1","0","0"
"500","4","9005309","2015-06-22T00:00:00.000","0","105","105","0","0","105","0","0","0","0","0","105","0","0","105","0","0","0","0","0","7","1","0","0"
"504","4","9005346","2015-06-01T00:00:00.000","0","120","120","0","0","0","0","0","0","120","0","120","0","0","0","0","0","0","120","0","7","1","0","0"
"505","4","9005346","2015-06-08T00:00:00.000","0","45","45","0","0","0","0","0","0","45","0","45","0","0","0","0","0","0","45","0","7","1","0","0"
"517","4","9005325","2015-06-01T00:00:00.000","0","1770","1770","0","0","570","0","0","0","180","1020","0","0","0","0","0","0","0","0","0","7","1","0","0"
"520","4","9003970","2015-06-15T00:00:00.000","0","120","120","0","0","120","0","0","0","0","0","120","0","0","120","0","0","0","0","0","7","1","0","0"
"521","4","9003970","2015-06-22T00:00:00.000","0","420","420","0","0","120","0","300","0","0","0","420","0","0","120","0","300","0","0","0","7","1","0","0"
"527","4","9004553","2015-06-01T00:00:00.000","0","30","30","0","0","0","0","0","0","30","0","30","0","0","0","0","0","0","30","0","7","1","0","0"
"528","4","9004553","2015-06-08T00:00:00.000","0","30","30","0","0","0","0","0","0","30","0","30","0","0","0","0","0","0","30","0","7","1","0","0"
"529","4","9004553","2015-06-15T00:00:00.000","0","930","930","0","0","0","0","285","0","180","465","930","0","0","0","0","285","0","180","465","7","1","0","0"
"530","4","9004553","2015-06-22T00:00:00.000","0","735","735","0","0","0","0","255","0","180","300","735","0","0","0","0","255","0","180","300","7","1","0","0"
"532","4","9003294","2015-06-01T00:00:00.000","0","60","60","0","0","0","0","0","0","60","0","60","0","0","0","0","0","0","60","0","7","1","0","0"
