"id_droits_agent","id_agent","code_service","libelle_service","date_modification","version","id_service_ads"
"5834","9005356","DDAB","DRH Pôle Administratif et Budgétaire","2015-08-04T07:53:24.921","0","67"
"4894","9004385","ECCB","DEPEV Secrétariat","2015-03-13T14:09:03.521","3","175"
"4905","9003282","ECCB","DEPEV Secrétariat","2015-03-13T14:09:03.521","3","175"
"5347","9005673","DEEA","DASP Service Juridique et du Contentieux","2015-06-08T14:11:47.167","1","86"
"5348","9005662","DEEA","DASP Service Juridique et du Contentieux","2015-06-08T14:11:47.241","1","86"
"5349","9005657","DEEA","DASP Service Juridique et du Contentieux","2015-06-08T14:11:47.297","1","86"
"5556","9004421","DAAB","SG Section Administrative et Comptable","2015-06-24T10:32:54.164","1","23"
"3759","9002902","DAGA","Direction Police municipale","2015-03-13T14:09:03.488","0","29"
"3761","9005316","DAGA","Direction Police municipale","2015-03-13T14:09:03.488","0","29"
"3762","9005314","DAGA","Direction Police municipale","2015-03-13T14:09:03.488","0","29"
"3763","9005309","DAGA","Direction Police municipale","2015-03-13T14:09:03.488","0","29"
"3764","9005311","DAGA","Direction Police municipale","2015-03-13T14:09:03.488","0","29"
"3765","9005313","DAGA","Direction Police municipale","2015-03-13T14:09:03.488","0","29"
"3766","9005312","DAGA","Direction Police municipale","2015-03-13T14:09:03.488","0","29"
"3767","9005307","DAGA","Direction Police municipale","2015-03-13T14:09:03.488","0","29"
"3768","9002970","DAGA","Direction Police municipale","2015-03-13T14:09:03.488","0","29"
"5884","9005729","EBCF","DB Marché Municipal","2015-09-01T07:59:10.315","0","157"
"3770","9005425","DAGB","DPM Centre Administratif et Budgétaire","2015-03-13T14:09:03.489","0","30"
"5634","9004955","DDDB","DRH SCR Section Carrières et Paie","2015-06-30T10:45:33.219","3","73"
"5635","9004735","DDDB","DRH SCR Section Carrières et Paie","2015-06-30T10:45:45.063","3","73"
"5636","9003742","DDDB","DRH SCR Section Carrières et Paie","2015-06-30T10:45:54.469","3","73"
"5637","9004209","DDDB","DRH SCR Section Carrières et Paie","2015-06-30T10:46:11.293","3","73"
"5652","9004473","ECCD","DEPEV Subdivision Espaces Verts","2015-07-09T14:19:10.975","0","177"
"3771","9003138","DAGB","DPM Centre Administratif et Budgétaire","2015-03-13T14:09:03.489","0","30"
"3773","9005526","DAGB","DPM Centre Administratif et Budgétaire","2015-03-13T14:09:03.489","0","30"
"3774","9003510","DAGC","DPM Centre Technique","2015-03-13T14:09:03.489","0","31"
"3775","9004225","DAGC","DPM Centre Technique","2015-03-13T14:09:03.489","0","31"
"3776","9004051","DAGC","DPM Centre Technique","2015-03-13T14:09:03.489","0","31"
"3778","9003394","DAGD","DPM Plateforme Technique Opérationnelle","2015-03-13T14:09:03.489","0","32"
"5885","9005729","EBCF","DB Marché Municipal","2015-09-01T08:01:21.651","1","157"
"5887","9005460","EABD","SCAF Section Proximité Intervention","2015-09-01T15:37:46.061","0","150"
"5888","9004684","EABD","SCAF Section Proximité Intervention","2015-09-01T15:37:46.133","0","150"
"5889","9005534","EABD","SCAF Section Proximité Intervention","2015-09-01T15:37:46.184","0","150"
"5890","9004661","EABD","SCAF Section Proximité Intervention","2015-09-01T15:37:46.237","0","150"
"5767","9004506","DFCJ","SVQ Pôle Vie de la Cité - MMQ","2015-07-28T13:09:34.327","1","107"
"5768","9005305","DFCB","SVQ Section Administrative et Comptable","2015-07-28T13:09:34.433","1","104"
"5631","9005719","DECA","DASP Service du Courrier","2015-06-29T16:07:13.773","1","79"
"5891","9005179","EABD","SCAF Section Proximité Intervention","2015-09-01T15:37:46.287","0","150"
"5558","9004417","DBAA","Direction des Finances","2015-06-24T13:30:27.242","2","44"
"5667","9003936","DAJA","Sce Inspect.& Prévent. des Risques Environnementaux & Sanit.","2015-07-22T07:16:40.066","6","38"
"5892","9003883","EABD","SCAF Section Proximité Intervention","2015-09-01T15:37:46.337","0","150"
"5893","9005619","EABD","SCAF Section Proximité Intervention","2015-09-01T15:37:46.394","0","150"
"4543","9004568","DFED","SMS Section Animations Sportives","2015-03-13T14:09:03.511","7","122"
"5835","9005730","DBBC","DF SEB Section des Recettes","2015-08-12T13:35:26.745","3","48"
