"id_pointage_calcule","id_agent","date_lundi","date_debut","date_fin","quantite","id_ref_type_pointage","id_ref_prime","etat","id_ventil_date","version"
"6407","9004373","2015-07-13T00:00:00.000","2015-07-19T00:00:00.000","NULL","1","3","6","9","6","5"
"5403","9003506","2015-06-15T00:00:00.000","2015-06-19T00:00:00.000","NULL","0","3","1","9","6","8"
"5408","9003506","2015-06-15T00:00:00.000","2015-06-19T00:00:00.000","NULL","1","3","6","9","6","8"
"5928","9005042","2015-06-22T00:00:00.000","2015-06-28T00:00:00.000","NULL","480","3","4","9","4","3"
"5929","9005042","2015-06-22T00:00:00.000","2015-06-28T00:00:00.000","NULL","1","3","6","9","4","3"
"5930","9005042","2015-06-22T00:00:00.000","2015-06-27T00:00:00.000","NULL","1","3","6","9","4","3"
"5931","9005042","2015-06-22T00:00:00.000","2015-06-22T00:00:00.000","NULL","1","3","6","9","4","3"
"5932","9005042","2015-06-29T00:00:00.000","2015-06-29T00:00:00.000","NULL","480","3","1","9","4","3"
"10034","9003382","2015-07-27T00:00:00.000","2015-07-30T00:00:00.000","NULL","180","3","1","9","8","3"
"10035","9003382","2015-07-27T00:00:00.000","2015-07-31T00:00:00.000","NULL","180","3","1","9","8","3"
"10036","9003382","2015-07-27T00:00:00.000","2015-07-29T00:00:00.000","NULL","1","3","6","9","8","3"
"10037","9003382","2015-08-03T00:00:00.000","2015-08-07T00:00:00.000","NULL","180","3","1","9","8","3"
"10038","9003382","2015-08-03T00:00:00.000","2015-08-06T00:00:00.000","NULL","180","3","1","9","8","3"
"10039","9003382","2015-08-03T00:00:00.000","2015-08-07T00:00:00.000","NULL","1","3","6","9","8","3"
"10040","9003382","2015-08-03T00:00:00.000","2015-08-05T00:00:00.000","NULL","1","3","6","9","8","3"
"10041","9003382","2015-08-10T00:00:00.000","2015-08-15T00:00:00.000","NULL","360","3","1","9","8","3"
"10042","9003382","2015-08-10T00:00:00.000","2015-08-14T00:00:00.000","NULL","180","3","1","9","8","3"
"10043","9003382","2015-08-10T00:00:00.000","2015-08-13T00:00:00.000","NULL","180","3","1","9","8","3"
"10044","9003382","2015-08-10T00:00:00.000","2015-08-15T00:00:00.000","NULL","435","3","4","9","8","3"
"10045","9003382","2015-08-17T00:00:00.000","2015-08-20T00:00:00.000","NULL","180","3","1","9","8","3"
"10046","9003382","2015-08-17T00:00:00.000","2015-08-19T00:00:00.000","NULL","1","3","6","9","8","3"
"10665","9005307","2015-07-06T00:00:00.000","2015-07-11T00:00:00.000","NULL","480","3","1","9","8","3"
"10666","9005307","2015-07-06T00:00:00.000","2015-07-10T00:00:00.000","NULL","480","3","1","9","8","3"
"10667","9005307","2015-07-06T00:00:00.000","2015-07-10T00:00:00.000","NULL","1","3","6","9","8","3"
"5404","9003506","2015-06-15T00:00:00.000","2015-06-16T00:00:00.000","NULL","480","3","1","9","6","8"
"5410","9003506","2015-06-22T00:00:00.000","2015-06-24T00:00:00.000","NULL","0","3","1","9","6","8"
"10668","9005307","2015-07-06T00:00:00.000","2015-07-09T00:00:00.000","NULL","1","3","6","9","8","3"
"10669","9005307","2015-07-06T00:00:00.000","2015-07-08T00:00:00.000","NULL","1","3","6","9","8","3"
"10670","9005307","2015-07-13T00:00:00.000","2015-07-16T00:00:00.000","NULL","480","3","1","9","8","3"
"10671","9005307","2015-07-13T00:00:00.000","2015-07-17T00:00:00.000","NULL","360","3","1","9","8","3"
"10672","9005307","2015-07-13T00:00:00.000","2015-07-14T00:00:00.000","NULL","480","3","4","9","8","3"
"10673","9005307","2015-07-13T00:00:00.000","2015-07-19T00:00:00.000","NULL","300","3","4","9","8","3"
"10674","9005307","2015-07-13T00:00:00.000","2015-07-15T00:00:00.000","NULL","1","3","6","9","8","3"
"10675","9005307","2015-07-13T00:00:00.000","2015-07-14T00:00:00.000","NULL","1","3","6","9","8","3"
"10047","9004980","2015-07-06T00:00:00.000","2015-07-11T00:00:00.000","NULL","480","3","1","9","8","3"
"10048","9004980","2015-07-06T00:00:00.000","2015-07-10T00:00:00.000","NULL","480","3","1","9","8","3"
"10049","9004980","2015-07-06T00:00:00.000","2015-07-10T00:00:00.000","NULL","1","3","6","9","8","3"
"10050","9004980","2015-07-06T00:00:00.000","2015-07-09T00:00:00.000","NULL","1","3","6","9","8","3"
"5406","9003506","2015-06-15T00:00:00.000","2015-06-21T00:00:00.000","NULL","480","3","4","9","6","8"
"6413","9005317","2015-06-29T00:00:00.000","2015-07-04T00:00:00.000","NULL","360","3","1","9","6","3"
"6414","9005317","2015-06-29T00:00:00.000","2015-07-03T00:00:00.000","NULL","360","3","1","9","6","3"
"6415","9005317","2015-06-29T00:00:00.000","2015-07-02T00:00:00.000","NULL","480","3","1","9","6","3"
"6416","9005317","2015-06-29T00:00:00.000","2015-07-01T00:00:00.000","NULL","1","3","6","9","6","3"
"6026","9003368","2015-06-22T00:00:00.000","2015-06-24T00:00:00.000","NULL","0","3","1","9","4","3"
